domain,dimension,date, omega_a
ecological,ocean acidification,1990,3.088
ecological,ocean acidification,1991,3.078
ecological,ocean acidification,1992,3.057
ecological,ocean acidification,1993,3.047
ecological,ocean acidification,1994,3.044
ecological,ocean acidification,1995,3.035
ecological,ocean acidification,1996,3.027
ecological,ocean acidification,1997,3.031
ecological,ocean acidification,1998,3.027
ecological,ocean acidification,1999,2.995
ecological,ocean acidification,2000,2.987
ecological,ocean acidification,2001,2.986
ecological,ocean acidification,2002,2.972
ecological,ocean acidification,2003,2.977
ecological,ocean acidification,2004,2.963
ecological,ocean acidification,2005,2.951
ecological,ocean acidification,2006,2.936
ecological,ocean acidification,2007,2.917
ecological,ocean acidification,2008,2.913
ecological,ocean acidification,2009,2.916
ecological,ocean acidification,2010,2.906
ecological,ocean acidification,2011,2.88
ecological,ocean acidification,2012,2.878
ecological,ocean acidification,2013,2.88
ecological,ocean acidification,2014,2.881
ecological,ocean acidification,2015,2.877
ecological,ocean acidification,2016,2.856
ecological,ocean acidification,2017,2.84
ecological,ocean acidification,2018,2.824
ecological,ocean acidification,2019,2.827
ecological,ocean acidification,2020,2.818
ecological,ocean acidification,2021,2.8
