domain,dimension,date,forestAreaMKM2
ecological,land conversion,1990,39.95
ecological,land conversion,1991,39.87
ecological,land conversion,1992,39.80
ecological,land conversion,1993,39.72
ecological,land conversion,1994,39.65
ecological,land conversion,1995,39.58
ecological,land conversion,1996,39.50
ecological,land conversion,1997,39.43
ecological,land conversion,1998,39.36
ecological,land conversion,1999,39.28
ecological,land conversion,2000,39.21
ecological,land conversion,2001,39.16
ecological,land conversion,2002,39.11
ecological,land conversion,2003,39.06
ecological,land conversion,2004,39.01
ecological,land conversion,2005,38.96
ecological,land conversion,2006,38.91
ecological,land conversion,2007,38.87
ecological,land conversion,2008,38.82
ecological,land conversion,2009,38.77
ecological,land conversion,2010,38.72
ecological,land conversion,2011,38.68
ecological,land conversion,2012,38.64
ecological,land conversion,2013,38.59
ecological,land conversion,2014,38.55
ecological,land conversion,2015,38.51
ecological,land conversion,2016,38.46
ecological,land conversion,2017,38.41
ecological,land conversion,2018,38.37
ecological,land conversion,2019,38.32
ecological,land conversion,2020,38.27
