domain,dimension,date,extinction1900,hanppGtC
ecological,biodiversity breakdown,2000,100,14.6
ecological,biodiversity breakdown,2001,100,
ecological,biodiversity breakdown,2002,100,
ecological,biodiversity breakdown,2003,100,
ecological,biodiversity breakdown,2004,100,
ecological,biodiversity breakdown,2005,100,
ecological,biodiversity breakdown,2006,100,
ecological,biodiversity breakdown,2007,100,
ecological,biodiversity breakdown,2008,100,
ecological,biodiversity breakdown,2009,100,
ecological,biodiversity breakdown,2010,100,
ecological,biodiversity breakdown,2011,100,
ecological,biodiversity breakdown,2012,100,
ecological,biodiversity breakdown,2013,100,
ecological,biodiversity breakdown,2014,100,
ecological,biodiversity breakdown,2015,100,
ecological,biodiversity breakdown,2016,100,
ecological,biodiversity breakdown,2017,100,
ecological,biodiversity breakdown,2018,100,
ecological,biodiversity breakdown,2019,100,
ecological,biodiversity breakdown,2020,100,16.8
ecological,biodiversity breakdown,2021,100,
