domain,dimension,date,interhemAOD
ecological,air pollution,2000,0.08
ecological,air pollution,2001,0.08
ecological,air pollution,2002,0.08
ecological,air pollution,2003,0.08
ecological,air pollution,2004,0.08
ecological,air pollution,2005,0.08
ecological,air pollution,2006,0.08
ecological,air pollution,2007,0.08
ecological,air pollution,2008,0.08
ecological,air pollution,2009,0.08
ecological,air pollution,2010,0.08
ecological,air pollution,2011,0.08
ecological,air pollution,2012,0.08
ecological,air pollution,2013,0.08
ecological,air pollution,2014,0.08
ecological,air pollution,2015,0.08
ecological,air pollution,2016,0.08
ecological,air pollution,2017,0.08
ecological,air pollution,2018,0.08
ecological,air pollution,2019,0.08
ecological,air pollution,2020,0.08
ecological,air pollution,2021,0.08
