domain,dimension,date,avgPalma,PalmaOver2_share,lifeSatisfaction
social,social cohesion,2000,2.6,70.8,
social,social cohesion,2001,2.62,71.3,
social,social cohesion,2002,2.66,69.1,
social,social cohesion,2003,2.67,68.8,
social,social cohesion,2004,2.67,67,
social,social cohesion,2005,2.7,67.6,44.8
social,social cohesion,2006,2.68,67.3,43.7
social,social cohesion,2007,2.68,70.9,34.9
social,social cohesion,2008,2.65,67,42.0
social,social cohesion,2009,2.64,67,52.8
social,social cohesion,2010,2.64,67.2,58.8
social,social cohesion,2011,2.62,65.9,35.6
social,social cohesion,2012,2.62,65.8,33.4
social,social cohesion,2013,2.61,69.2,39.2
social,social cohesion,2014,2.6,64.2,37.8
social,social cohesion,2015,2.6,68.6,40.7
social,social cohesion,2016,2.61,65.2,35.3
social,social cohesion,2017,2.62,65.3,34.5
social,social cohesion,2018,2.65,65.3,33.8
social,social cohesion,2019,2.65,65.4,37.3
social,social cohesion,2020,2.65,69.7,39.6
social,social cohesion,2021,,,40.5
