domain,dimension,date,voiceAccount
social,political voice,2000,51.3
social,political voice,2001,51.9
social,political voice,2002,52.4
social,political voice,2003,52.3
social,political voice,2004,51.9
social,political voice,2005,49.2
social,political voice,2006,47.8
social,political voice,2007,48.1
social,political voice,2008,48.7
social,political voice,2009,49.3
social,political voice,2010,48.4
social,political voice,2011,49.2
social,political voice,2012,49.9
social,political voice,2013,50.7
social,political voice,2014,49.5
social,political voice,2015,49.2
social,political voice,2016,49.6
social,political voice,2017,49.9
social,political voice,2018,50.4
social,political voice,2019,50.2
social,political voice,2020,50.6
social,political voice,2021,50.9
