domain,dimension,date,undernourishment,foodInsecurity
social,food,2000,13,
social,food,2001,13.1,
social,food,2002,13.3,
social,food,2003,13,
social,food,2004,12.9,
social,food,2005,12.3,
social,food,2006,11.5,
social,food,2007,10.5,
social,food,2008,10,
social,food,2009,9.8,
social,food,2010,8.6,
social,food,2011,8.3,
social,food,2012,8.2,
social,food,2013,7.9,
social,food,2014,7.8,21.2
social,food,2015,8,21.5
social,food,2016,7.8,22.7
social,food,2017,7.6,23.9
social,food,2018,7.7,25
social,food,2019,8,25.4
social,food,2020,9.3,29.5
social,food,2021,9.8,29.3
