domain,dimension,date,under5death,noUniversalHealth
social,health,2000,75.5,72
social,health,2001,75.1,
social,health,2002,75.2,
social,health,2003,73.4,
social,health,2004,73.6,
social,health,2005,50.4,69
social,health,2006,46.8,
social,health,2007,47,
social,health,2008,46.9,
social,health,2009,47.2,
social,health,2010,47.3,66
social,health,2011,47.5,
social,health,2012,47.6,
social,health,2013,47.4,
social,health,2014,45.9,
social,health,2015,46.1,61
social,health,2016,45.7,
social,health,2017,45.7,59
social,health,2018,42.4,
social,health,2019,42.5,58
social,health,2020,42.8,
social,health,2021,42.2,58
