domain,dimension,date,secondarySchool,adultLiteracy
social,education,2000,37,80.9
social,education,2001,38,81.2
social,education,2002,39,81.6
social,education,2003,40,82.1
social,education,2004,40,82.5
social,education,2005,41,82.4
social,education,2006,42,82.6
social,education,2007,43,82.9
social,education,2008,44,83.4
social,education,2009,45,83.7
social,education,2010,47,84.1
social,education,2011,48,84.3
social,education,2012,50,84.8
social,education,2013,51,85.0
social,education,2014,52,85.4
social,education,2015,53,85.6
social,education,2016,54,86.0
social,education,2017,55,86.2
social,education,2018,56,86.3
social,education,2019,57,86.7
social,education,2020,58,86.8
social,education,2021,58,
