domain,dimension,date,energyAccess,energyIndoor
social,energy,2000,78.4,49
social,energy,2001,78.8,50
social,energy,2002,79.2,50
social,energy,2003,80.1,51
social,energy,2004,80.1,52
social,energy,2005,80.8,53
social,energy,2006,81.5,53
social,energy,2007,82.1,54
social,energy,2008,82.8,55
social,energy,2009,83,56
social,energy,2010,83.6,57
social,energy,2011,84.6,59
social,energy,2012,85.1,60
social,energy,2013,85.8,61
social,energy,2014,86.3,62
social,energy,2015,87,64
social,energy,2016,88.2,65
social,energy,2017,89,66
social,energy,2018,89.9,67
social,energy,2019,90.2,69
social,energy,2020,90.5,70
social,energy,2021,91.4,71
