domain,dimension,date,genderGapIndex,racialInequality
social,equality,2000,,
social,equality,2001,,
social,equality,2002,,
social,equality,2003,,
social,equality,2004,,
social,equality,2005,64.5,
social,equality,2006,64.8,
social,equality,2007,65.9,
social,equality,2008,66.2,
social,equality,2009,66.4,
social,equality,2010,66.5,
social,equality,2011,67.1,
social,equality,2012,67.7,
social,equality,2013,67.7,
social,equality,2014,68.2,
social,equality,2015,68.3,
social,equality,2016,68,
social,equality,2017,68,
social,equality,2018,68.6,
social,equality,2019,68.4,
social,equality,2020,68.1,
social,equality,2021,68.3,
